FTEM Treatment ID (system generated),Treatment Agency,Treatment Area/Region,Admin Forest Code,Treatment Unit,Treatment Sub-Unit,Treatment ID (FACTS ID or NFPORS ID),Treatment FTEM Monitoring Status,Treatment Name,Treatment Completion Acres,Treatment Completion Month,Treatment completion year,Treatment Type,Wildfire Name,Wildfire Discovery Date
734895,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6270891,Not Started,GCVC - Science Center Contract Biomass Removal (ADD-ON),25,8,2014,Chipping,YAVAPAI,2019-06-14
734952,NPS,Intermountain Regional Office,,Bandelier National Monument,,3330972,Not Started,Countyline North (CG-5/8) RX - Los Conchas WF (ADD-ON),185,6,2011,Broadcast Burn,County Line,2019-08-27
735126,NPS,Intermountain Regional Office,,Dinosaur National Monument,,6296540,Not Started,DINO CO HQ Mow (ADD-ON),4,6,2015,Mowing,DINO HQ,2019-08-21
735244,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6271296,Not Started,Roost Spring Canyon Maint Prep,28,8,2015,Lop and Scatter,IKES,2019-07-25
735356,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3313104,Not Started,Range Pile Burn (ADD-ON),50,10,2009,Hand Pile Burn,WIDFORSS,2019-08-28
735362,NPS,Intermountain Regional Office,,Glacier National Park,,6283969,Not Started,St. Mary Admin. Chip (ADD-ON),15,8,2013,Chipping,Corral ,2019-10-25
735601,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3315724,Not Started,Yavapai Contract Biomass Removal (ADD-ON),50,1,2015,Biomass Removal,YAVAPAI,2019-06-14
735601,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3315724,Not Started,Yavapai Contract Biomass Removal (ADD-ON),50,1,2015,Biomass Removal,ROUZER,2019-07-30
735814,NPS,Intermountain Regional Office,,Bandelier National Monument,,3304380,Not Started,Apache Springs (UF-14/LF27) Pile Burn (ADD-ON),100,8,2010,Hand Pile Burn,Apache #2,2019-08-02
735814,NPS,Intermountain Regional Office,,Bandelier National Monument,,3304380,Not Started,Apache Springs (UF-14/LF27) Pile Burn (ADD-ON),100,8,2010,Hand Pile Burn,Ponderosa ,2019-09-07
735814,NPS,Intermountain Regional Office,,Bandelier National Monument,,3304380,Not Started,Apache Springs (UF-14/LF27) Pile Burn (ADD-ON),100,8,2010,Hand Pile Burn,Apache #1,2019-08-02
735814,NPS,Intermountain Regional Office,,Bandelier National Monument,,3304380,Not Started,Apache Springs (UF-14/LF27) Pile Burn (ADD-ON),100,8,2010,Hand Pile Burn,County Line,2019-08-27
735948,NPS,Intermountain Regional Office,,Tonto National Monument,,3325547,Not Started,Tonto VC &amp; Housing Def. Space Haul (ADD-ON),2,7,2013,Biomass Removal,Woodbury,2019-06-08
735991,NPS,Intermountain Regional Office,,Bryce Canyon National Park,,6297621,Not Started,Rainbow Pt. Units 1-4 Thin (ADD-ON),75,8,2015,Thinning,Rainbow Point,2019-09-25
736029,NPS,Intermountain Regional Office,,Bandelier National Monument,,3322963,Not Started,Valles II North Maint Thin (ADD-ON),57,7,2013,Lop and Scatter,County Line,2019-08-27
736046,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291985,Not Started,Bright Angel - Curve Unit FY16 Thin,16,8,2016,Thinning,EDR ,2019-08-31
736046,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291985,Not Started,Bright Angel - Curve Unit FY16 Thin,16,8,2016,Thinning,WIDFORSS,2019-08-28
736126,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3315720,Not Started,Water Tanks Contract Thin,87,8,2012,Thinning,YAVAPAI,2019-06-14
737480,NPS,Intermountain Regional Office,,Valles Caldera National Preserve,,6295071,Not Started,North Banco - Cajete Unit 2 FY16 RX,202,9,2015,Broadcast Burn,FALSE ALARM #1,2019-07-19
737657,NPS,Intermountain Regional Office,,Bryce Canyon National Park,,3323285,Not Started,Daves Hollow RX (ADD-ON),246,8,2010,Broadcast Burn,Dixie,2019-07-10
737738,NPS,Intermountain Regional Office,,,,6288356,Not Started,North Unit - Cedar Cyn/Fritch Fortess/Harbor Bay RX - Double Diamond WF (ADD-ON),1455,4,2014,Fire Use,Cedar Canyon,2019-09-07
737738,NPS,Intermountain Regional Office,,,,6288356,Not Started,North Unit - Cedar Cyn/Fritch Fortess/Harbor Bay RX - Double Diamond WF (ADD-ON),1455,4,2014,Fire Use,Elizabeth,2019-09-08
737814,NPS,Intermountain Regional Office,,Tonto National Monument,,3331364,In Progress,TONT VC & Housing Def. Space Thin (ADD-ON),4,6,2011,Thinning,Woodbury,2019-06-08
737849,NPS,Intermountain Regional Office,,Bandelier National Monument,,3303944,Not Started,Apache Springs (UF-14\LF27) Thin PH 2 (ADD-ON),235,9,2009,Thinning,Ponderosa ,2019-09-07
737849,NPS,Intermountain Regional Office,,Bandelier National Monument,,3303944,Not Started,Apache Springs (UF-14\LF27) Thin PH 2 (ADD-ON),235,9,2009,Thinning,Apache #1,2019-08-02
737849,NPS,Intermountain Regional Office,,Bandelier National Monument,,3303944,Not Started,Apache Springs (UF-14\LF27) Thin PH 2 (ADD-ON),235,9,2009,Thinning,Apache #2,2019-08-02
737849,NPS,Intermountain Regional Office,,Bandelier National Monument,,3303944,Not Started,Apache Springs (UF-14\LF27) Thin PH 2 (ADD-ON),235,9,2009,Thinning,County Line,2019-08-27
737855,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3315721,Not Started,Water Tanks Biomass Removal,87,8,2012,Thinning,YAVAPAI,2019-06-14
738627,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291296,Not Started,Roost West Basin FY15 Slopes RX,1272,9,2014,Broadcast Burn,IKES,2019-07-25
738641,NPS,Intermountain Regional Office,,,,6290254,Not Started,Lost Woman + Lost Cerritos RXs - Whiskey Fire (ADD-ON),806,7,2014,Fire Use,Lava 18,2019-08-22
738860,NPS,Intermountain Regional Office,,Tonto National Monument,,3331365,Not Started,TONT VC & Housing Def. Space Haul (ADD-ON),4,6,2011,Biomass Removal,Woodbury,2019-06-08
738921,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6276542,Not Started,Range Summer FY12 Burn Prep (ADD-ON),40,8,2012,Lop and Scatter,WIDFORSS,2019-08-28
738945,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3304018,Not Started,Roost Spring Canyon Contract Thin PH 2 (ADD-ON),63,7,2010,Thinning,IKES,2019-07-25
739185,NPS,Intermountain Regional Office,,Tonto National Monument,,3325546,In Progress,Tonto VC &amp; Housing Def Space Thin (ADD-ON),2,7,2013,Thinning,Woodbury,2019-06-08
742292,NPS,Intermountain Regional Office,,Bryce Canyon National Park,,6291500,Not Started,Rainbow Pt. Units 1-4 Hand Pile,75,8,2015,Hand Pile,Rainbow Point,2019-09-25
742298,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291396,Not Started,Bndry Spring Cyn FY15 Slopes RX,428,10,2014,Broadcast Burn,IKES,2019-07-25
743117,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6270890,Not Started,GCVC - Science Center Contract Thin (ADD-ON),25,8,2014,Thinning,YAVAPAI,2019-06-14
743862,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6270681,Not Started,Range Blackline Rx (ADD-ON),39,10,2011,Broadcast Burn,WIDFORSS,2019-08-28
743931,NPS,Intermountain Regional Office,,Glacier National Park,,3289440,Not Started,St. Mary Admin. PH2 Thin,5,8,2014,Thinning,Corral ,2019-10-25
743945,NPS,Intermountain Regional Office,,Dinosaur National Monument,,6289054,Not Started,HQ Mow (ADD-ON),4,5,2014,Mowing,DINO HQ,2019-08-21
744150,NPS,Intermountain Regional Office,,Bandelier National Monument,,3312252,Not Started,Apache Springs (UF-14\LF27) Hand Pile PH 2 (ADD-ON),235,9,2009,Hand Pile,County Line,2019-08-27
744150,NPS,Intermountain Regional Office,,Bandelier National Monument,,3312252,Not Started,Apache Springs (UF-14\LF27) Hand Pile PH 2 (ADD-ON),235,9,2009,Hand Pile,Apache #1,2019-08-02
744150,NPS,Intermountain Regional Office,,Bandelier National Monument,,3312252,Not Started,Apache Springs (UF-14\LF27) Hand Pile PH 2 (ADD-ON),235,9,2009,Hand Pile,Ponderosa ,2019-09-07
744150,NPS,Intermountain Regional Office,,Bandelier National Monument,,3312252,Not Started,Apache Springs (UF-14\LF27) Hand Pile PH 2 (ADD-ON),235,9,2009,Hand Pile,Apache #2,2019-08-02
744245,NPS,Intermountain Regional Office,,El Malpais National Monument,,6298944,Not Started,"Road 300 Units 10, 12 FY16 RX (ADD-ON)",1010,5,2016,Broadcast Burn,Big Tubes,2019-08-02
744450,NPS,Intermountain Regional Office,,Bandelier National Monument,,3312658,Not Started,Apache Springs (UF-14\LF27) Biomass Removal PH 2 (ADD-ON),20,9,2009,Biomass Removal,Apache #1,2019-08-02
744450,NPS,Intermountain Regional Office,,Bandelier National Monument,,3312658,Not Started,Apache Springs (UF-14\LF27) Biomass Removal PH 2 (ADD-ON),20,9,2009,Biomass Removal,Apache #2,2019-08-02
744450,NPS,Intermountain Regional Office,,Bandelier National Monument,,3312658,Not Started,Apache Springs (UF-14\LF27) Biomass Removal PH 2 (ADD-ON),20,9,2009,Biomass Removal,County Line,2019-08-27
744450,NPS,Intermountain Regional Office,,Bandelier National Monument,,3312658,Not Started,Apache Springs (UF-14\LF27) Biomass Removal PH 2 (ADD-ON),20,9,2009,Biomass Removal,Ponderosa ,2019-09-07
744849,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6279072,Not Started,Bright Angel FY13 Pile Rx (ADD-ON),27,11,2012,Hand Pile Burn,WIDFORSS,2019-08-28
744849,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6279072,Not Started,Bright Angel FY13 Pile Rx (ADD-ON),27,11,2012,Hand Pile Burn,EDR ,2019-08-31
744997,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3312142,Not Started,Range Hand Pile (ADD-ON),50,8,2009,Hand Pile,WIDFORSS,2019-08-28
745286,NPS,Intermountain Regional Office,,Guadalupe Mountains National Park,,3310661,Not Started,Foothills-Lamar RX PH 2 - Juniper WF (ADD-ON),192,4,2009,Broadcast Burn,Pine Springs,2019-03-22
